学校名,打撃,投手,総合
クラーク記念国際,1,2,2
北海,2,0,1
八戸学院光星,3,2,3
盛岡大付,0,1,0
東北,4,0,1
大曲工,0,2,2
鶴岡東,1,4,0
聖光学院,0,3,0
常総学院,0,1,2
作新学院,0,3,0
前橋育英,0,0,1
花咲徳栄,1,1,3
木更津総合,4,2,1
関東一,1,2,2
八王子,3,3,4
横浜,1,2,2
中越,3,3,4
富山第一,4,4,3
星稜,1,3,0
北陸,0,3,0
山梨学院,0,4,0
佐久長聖,1,1,2
中京,0,4,0
常葉菊川,3,1,3
東邦,3,1,4
いなべ総合,0,4,0
近江,0,1,2
京都翔英,0,1,2
履正社,1,0,1
市尼崎,4,0,1
智弁学園,1,2,2
市和歌山,4,2,3
境,0,3,0
出雲,4,1,3
創志学園,0,1,2
広島新庄,4,2,3
高川学園,3,0,3
鳴門,1,4,0
尽誠学園,4,3,3
松山聖陵,4,2,3
明徳義塾,0,4,0
九州国際大附,0,2,2
唐津商,1,3,2
長崎商,1,2,2
秀岳館,3,4,4
大分,0,3,2
日南学園,0,4,0
樟南,2,2,1
嘉手納,1,2,2
