県,県No,学校名,対戦校,打率,本塁打,犠打,盗塁,投手数,投球回数,失点,防御率,得点
北北海道,1,クラーク記念国際,聖光学院,0.354,1,17,4,1,32.7,8,2.2,3
南北海道,2,北海,松山聖陵,0.379,3,34,2,1,41.7,9,1.94,2
青森,3,八戸学院光星,市尼崎,0.375,3,20,23,1,57,8,1.26,5
岩手,4,盛岡大付,九州国際大附,0.395,2,14,11,2,40.7,15,3.32,8
宮城,5,東北,横浜,0.374,1,22,13,2,42,10,2.14,1
秋田,6,大曲工,花咲徳栄,0.197,0,8,6,1,37,0,0,1
山形,7,鶴岡東,いなべ総合,0.35,7,13,5,2,29.3,3,0.92,3
福島,8,聖光学院,クラーク記念国際,0.333,3,16,13,1,41.3,7,1.53,5
茨城,9,常総学院,近江,0.31,3,9,12,2,41,2,0.44,11
栃木,10,作新学院,尽誠学園,0.432,2,5,9,1,35.7,12,3.03,3
群馬,11,前橋育英,嘉手納,0.257,3,14,15,1,43.3,7,1.45,3
埼玉,12,花咲徳栄,大曲工,0.389,4,22,8,2,40.7,10,2.21,6
千葉,13,木更津総合,唐津商,0.275,2,22,11,1,35.7,8,2.02,2
東東京,14,関東一,広島新庄,0.267,4,15,7,1,44,10,2.05,1
西東京,15,八王子,日南学園,0.317,1,13,23,1,31,3,0.87,1
神奈川,16,横浜,東北,0.364,14,16,8,1,48,8,1.5,7
新潟,17,中越,富山第一,0.319,2,15,23,2,30.3,2,0.59,0
富山,18,富山第一,中越,0.336,0,24,16,1,33.3,7,1.89,1
石川,19,星稜,市和歌山,0.366,9,18,11,2,44,7,1.43,2
福井,20,北陸,東邦,0.289,1,5,13,1,34,2,0.53,9
山梨,21,山梨学院,長崎商,0.49,5,6,5,1,45,5,1,5
長野,22,佐久長聖,鳴門,0.333,0,17,5,1,28,6,1.93,2
岐阜,23,中京,大分,0.269,4,9,9,1,36.3,9,2.23,12
静岡,24,常葉菊川,秀岳館,0.41,8,16,19,2,25.7,5,1.75,1
愛知,25,東邦,北陸,0.286,6,10,19,1,32,11,3.09,19
三重,26,いなべ総合,鶴岡東,0.353,1,6,9,2,26,6,2.08,5
滋賀,27,近江,常総学院,0.378,5,12,14,2,39.7,4,0.91,0
京都,28,京都翔英,樟南,0.433,3,12,8,1,44.7,5,1.01,1
大阪,29,履正社,高川学園,0.404,7,20,6,1,47,4,0.77,5
兵庫,30,市尼崎,八戸学院光星,0.237,2,25,15,2,43.3,11,2.29,4
奈良,31,智弁学園,出雲,0.319,5,19,6,1,37,6,1.46,6
和歌山,32,市和歌山,星稜,0.309,4,22,11,3,29.3,11,3.38,8
鳥取,33,境,明徳義塾,0.347,3,12,8,1,29,19,5.9,2
島根,34,出雲,智弁学園,0.312,0,23,18,1,40.3,13,2.9,1
岡山,35,創志学園,盛岡大付,0.332,1,14,12,2,34.7,3,0.78,8
広島,36,広島新庄,関東一,0.366,3,23,22,2,45,11,2.2,2
山口,37,高川学園,履正社,0.374,0,20,24,2,53,4,0.68,1
徳島,38,鳴門,佐久長聖,0.294,1,14,4,2,36,7,1.75,3
香川,39,尽誠学園,作新学院,0.367,3,26,11,2,32,8,2.25,0
愛媛,40,松山聖陵,北海,0.307,6,21,15,1,41.3,7,1.53,1
高知,41,明徳義塾,境,0.318,2,5,9,1,27,2,0.67,7
福岡,42,九州国際大附,盛岡大付,0.355,5,14,13,2,34.7,3,0.78,6
佐賀,43,唐津商,木更津総合,0.31,0,19,6,1,46,11,2.15,0
長崎,44,長崎商,山梨学院,0.225,0,19,3,2,21.7,6,2.49,3
熊本,45,秀岳館,常葉菊川,0.405,0,8,31,1,42,4,0.86,6
大分,46,大分,中京,0.339,3,12,10,1,30.3,4,1.19,4
宮崎,47,日南学園,八王子,0.377,1,11,6,1,31.3,13,3.74,7
鹿児島,48,樟南,京都翔英,0.296,1,33,9,2,38,8,1.89,9
沖縄,49,嘉手納,前橋育英,0.322,4,12,4,1,52,9,1.56,10
