県,県No,学校名,出場回数,対戦校,試合,打率,総得点,安打,長打,本塁打,犠打,盗塁,投手数,投球回数,失策,失点,防御率
岩手,4,盛岡大付,9,創志学園,6,0.395,57,73,23,2,14,11,1,38,4,3,0.71
奈良,31,智弁学園,18,鳴門,5,0.319,33,51,10,5,19,6,1,28,6,7,1.93
徳島,38,鳴門,11,智弁学園,4,0.294,18,35,13,1,14,4,1,40.3,6,16,2.9
山梨,21,山梨学院,6,いなべ総合,5,0.49,77,73,23,5,6,5,2,29.3,1,7,0.92
三重,26,いなべ総合,2,山梨学院,5,0.353,37,53,7,1,6,9,2,21.7,3,10,2.49
茨城,9,常総学院,16,中京,6,0.31,39,53,13,3,9,12,1,30.3,4,9,1.19
岐阜,23,中京,6,常総学院,6,0.269,33,49,8,4,9,9,2,39.7,12,5,0.91
愛知,25,東邦,17,八戸学院光星,6,0.286,35,56,9,6,10,19,2,43.3,3,12,2.29
青森,3,八戸学院光星,8,東邦,6,0.375,53,69,19,3,20,23,1,34,5,4,0.53
神奈川,16,横浜,16,履正社,7,0.364,65,78,18,14,16,8,2,53,4,4,0.68
大阪,29,履正社,3,横浜,8,0.404,79,91,26,7,20,6,2,42,2,10,2.14
和歌山,32,市和歌山,6,日南学園,5,0.309,29,47,14,4,22,11,1,31,5,5,0.87
宮崎,47,日南学園,8,市和歌山,5,0.377,49,63,16,1,11,6,2,44,6,7,1.43
鹿児島,48,樟南,19,花咲徳栄,7,0.296,27,68,14,1,33,9,1,37,0,3,0
埼玉,12,花咲徳栄,4,樟南,7,0.389,68,81,16,4,22,8,1,44.7,1,6,1.01
広島,36,広島新庄,2,富山第一,6,0.366,48,67,13,3,23,22,2,30.3,7,6,0.59
富山,18,富山第一,2,広島新庄,5,0.336,45,46,9,0,24,16,1,44,5,10,2.05
